"diameter","albedo","spkid","full_name","pha","H","e","a","q","i","n","per","per_y","moid","class"
,,3879280,"       (2019 UX1)",N,24.09,0.2426,0.9692,0.734,14.06,1.033,349,0.954,0.00544,ATE
,,3879278,"       (2019 UY1)",N,23.91,0.2643,0.8981,0.661,6.05,1.158,311,0.851,0.054,ATE
,,3879277,"       (2019 UZ1)",N,23.63,0.5234,2.328,1.109,1.89,0.2775,1.3e+03,3.55,0.104,AMO
,,3879279,"       (2019 UA2)",N,26.90,0.5774,2.389,1.010,8.32,0.2669,1.35e+03,3.69,0.0239,APO
,,3879281,"       (2019 UB2)",N,25.80,0.5983,2.498,1.003,1.27,0.2496,1.44e+03,3.95,0.0168,APO
,,3879283,"       (2019 UC2)",N,26.80,0.4656,1.935,1.034,6.88,0.3663,983,2.69,0.0418,AMO
,,3879284,"       (2019 UD2)",N,26.63,0.4741,1.88,0.989,4.57,0.3823,942,2.58,0.0127,APO
,,3879285,"       (2019 UG2)",N,24.30,0.2032,0.9106,0.726,23.72,1.134,317,0.869,0.0618,ATE
,,3879286,"       (2019 UH2)",N,21.20,0.4527,1.907,1.043,35.00,0.3744,962,2.63,0.175,AMO
,,3879287,"       (2019 UJ2)",N,19.42,0.5048,2.469,1.222,30.26,0.2541,1.42e+03,3.88,0.372,AMO
,,3879295,"       (2019 UK2)",N,27.80,0.3847,1.542,0.949,3.87,0.5147,699,1.91,0.00456,APO
,,3879290,"       (2019 UL2)",N,24.84,0.2596,1.241,0.919,4.52,0.7131,505,1.38,0.0406,APO
,,3879293,"       (2019 UM2)",N,28.40,0.2741,1.402,1.017,2.62,0.5939,606,1.66,0.0255,AMO
,,3879292,"       (2019 UN2)",N,25.08,0.2318,1.177,0.904,6.55,0.7722,466,1.28,0.0425,APO
,,3879296,"       (2019 UO2)",N,25.80,0.2621,0.8533,0.630,23.08,1.25,288,0.788,0.0252,ATE
,,3879289,"       (2019 UP2)",N,23.80,0.3776,1.911,1.189,4.19,0.3732,965,2.64,0.204,AMO
,,3879291,"       (2019 UQ2)",N,24.40,0.5910,2.668,1.091,16.51,0.2262,1.59e+03,4.36,0.0974,AMO
,,3879298,"       (2019 UR2)",N,22.13,0.6502,2.441,0.854,10.45,0.2585,1.39e+03,3.81,0.00486,APO
,,3879297,"       (2019 US2)",N,23.40,0.1839,1.194,0.974,28.27,0.7558,476,1.3,0.134,APO
,,3879294,"       (2019 UT2)",N,24.60,0.2877,1.383,0.985,26.72,0.6059,594,1.63,0.115,APO
,,3879299,"       (2019 UU2)",N,26.60,0.4895,1.712,0.874,12.97,0.4402,818,2.24,0.00399,APO
,,3879300,"       (2019 UV2)",N,23.50,0.2420,1.548,1.174,15.88,0.5116,704,1.93,0.232,AMO
,,3879301,"       (2019 UW2)",N,22.34,0.4154,1.685,0.985,37.91,0.4506,799,2.19,0.258,APO
,,3879302,"       (2019 UX2)",N,25.32,0.4600,1.633,0.882,23.74,0.4724,762,2.09,0.0428,APO
,,3879303,"       (2019 UA3)",N,26.17,0.4839,1.778,0.918,5.70,0.4156,866,2.37,0.0024,APO
,,3879304,"       (2019 UC3)",N,23.55,0.5711,1.914,0.821,12.85,0.3722,967,2.65,0.0959,APO
,,3879305,"       (2019 UD3)",N,25.80,0.5565,1.989,0.882,7.21,0.3513,1.02e+03,2.81,0.00643,APO
,,3879306,"       (2019 UE3)",N,23.95,0.4458,1.869,1.036,16.08,0.3857,933,2.56,0.0479,AMO
,,3879307,"       (2019 UF3)",N,24.44,0.2296,1.361,1.049,21.53,0.6207,580,1.59,0.0592,AMO
,,3879308,"       (2019 UG3)",N,29.20,0.2696,1.322,0.965,2.23,0.6486,555,1.52,0.00412,APO
,,3879309,"       (2019 UH3)",N,25.80,0.4813,1.852,0.961,4.10,0.3911,920,2.52,0.00311,APO
,,3879311,"       (2019 UJ3)",N,25.95,0.3018,1.038,0.725,1.05,0.9314,387,1.06,0.0167,APO
,,3879312,"       (2019 UK3)",N,26.72,0.3474,1.533,1.000,2.84,0.5195,693,1.9,0.021,APO
,,3879313,"       (2019 UL3)",N,28.30,0.4257,1.612,0.926,0.41,0.4813,748,2.05,0.00203,APO
,,3879310,"       (2019 UM3)",N,26.55,0.5547,2.246,1.000,7.29,0.2927,1.23e+03,3.37,0.0342,APO
,,3879314,"       (2019 UN3)",N,24.39,0.2032,0.9837,0.784,32.18,1.01,356,0.976,0.0488,ATE
,,3879316,"       (2019 UT3)",N,25.34,0.2751,1.43,1.037,5.33,0.5764,625,1.71,0.0772,AMO
,,3879318,"       (2019 UU3)",N,25.50,0.6220,2.452,0.927,14.19,0.2567,1.4e+03,3.84,0.0311,APO
,,3879317,"       (2019 UV3)",N,20.02,0.4304,2.175,1.239,17.74,0.3074,1.17e+03,3.21,0.268,AMO
,,3879319,"       (2019 UW3)",N,24.40,0.1070,1.301,1.162,21.69,0.6643,542,1.48,0.164,AMO
,,3879321,"       (2019 UX3)",N,26.80,0.4353,1.76,0.994,0.85,0.4222,853,2.33,0.0143,APO
,,3879320,"       (2019 UY3)",N,23.93,0.3431,1.577,1.036,4.81,0.4975,724,1.98,0.0363,AMO
,,3879322,"       (2019 UZ3)",N,27.00,0.2899,1.21,0.859,5.68,0.7405,486,1.33,0.018,APO
,,3879383,"       (2019 UB4)",N,29.20,0.0963,1.037,0.937,0.92,0.9329,386,1.06,0.000666,APO
,,3879384,"       (2019 UC4)",Y,21.24,0.6450,2.486,0.882,8.60,0.2515,1.43e+03,3.92,0.0445,APO
,,3879527,"       (2019 UD4)",N,23.17,0.3475,1.568,1.023,3.34,0.5021,717,1.96,0.0327,AMO
,,3879528,"       (2019 UE4)",N,27.68,0.4151,1.372,0.802,1.14,0.6136,587,1.61,0.000745,APO
,,3879530,"       (2019 UK4)",N,27.07,0.3727,1.664,1.044,4.30,0.4591,784,2.15,0.0459,AMO
,,3879532,"       (2019 UL4)",N,25.33,0.4552,1.806,0.984,8.77,0.4061,886,2.43,0.0239,APO
,,3879531,"       (2019 UM4)",N,26.20,0.6031,2.554,1.014,9.05,0.2414,1.49e+03,4.08,0.0259,APO
,,3879533,"       (2019 UN4)",N,22.80,0.1351,1.112,0.961,20.81,0.8409,428,1.17,0.0173,APO
,,3879534,"       (2019 UO4)",N,24.70,0.4049,1.677,0.998,18.23,0.454,793,2.17,0.101,APO
,,3879535,"       (2019 UP4)",N,24.10,0.7219,2.031,0.565,4.76,0.3406,1.06e+03,2.89,0.0415,APO
,,3879536,"       (2019 UQ4)",N,28.00,0.1299,1.147,0.998,3.78,0.8019,449,1.23,0.0246,APO
,,3879537,"       (2019 UR4)",N,26.90,0.1769,1.056,0.869,1.19,0.9081,396,1.09,0.014,APO
,,3879538,"       (2019 UU4)",N,24.70,0.1684,1.288,1.071,28.47,0.674,534,1.46,0.0815,AMO
,,3879539,"       (2019 UC5)",N,26.50,0.3903,1.653,1.008,5.03,0.4637,776,2.13,0.0117,APO
,,3879540,"       (2019 UD5)",N,23.70,0.2394,1.464,1.113,25.35,0.5565,647,1.77,0.199,AMO
,,3879541,"       (2019 UE5)",N,22.48,0.5643,2.287,0.996,5.17,0.285,1.26e+03,3.46,0.0656,APO
,,3879543,"       (2019 UF5)",N,25.60,0.3775,1.244,0.775,9.43,0.71,507,1.39,0.00675,APO
